City/County,Conf,Deaths,Recov,Active
New York City,63306,1905,0,0
Nassau,13346,95,0,0
Westchester,13081,67,0,0
Suffolk,11370,124,0,0
Rockland,4872,69,0,0
Orange,2741,40,0,0
Dutchess,938,5,0,0
Erie,808,22,0,0
Monroe,512,14,0,0
Onondaga,349,4,0,0
Albany,293,6,0,0
Ulster,290,4,0,0
Putnam,283,7,0,0
Sullivan,193,5,0,0
Saratoga,141,1,0,0
Schenectady,117,5,0,0
Niagara,101,0,0,0
Tompkins,93,0,0,0
Oneida,80,1,0,0
Madison,78,2,0,0
Rensselaer,67,0,0,0
Broome,65,4,0,0
Steuben,60,0,0,0
Columbia,57,2,0,0
St. Lawrence,52,0,0,0
Chenango,39,0,0,0
Chemung,36,0,0,0
Clinton,31,0,0,0
Ontario,31,0,0,0
Wayne,30,0,0,0
Oswego,28,0,0,0
Delaware,26,1,0,0
Otsego,26,1,0,0
Greene,24,0,0,0
Genesee,20,1,0,0
Jefferson,20,0,0,0
Warren,20,0,0,0
Herkimer,18,3,0,0
Livingston,18,1,0,0
Wyoming,18,1,0,0
Allegany,16,1,0,0
Washington,16,0,0,0
Cortland,14,0,0,0
Montgomery,13,0,0,0
Schoharie,11,0,0,0
Chautauqua,10,1,0,0
Franklin,10,0,0,0
Orleans,10,0,0,0
Cattaraugus,9,0,0,0
Fulton,9,0,0,0
Tioga,8,0,0,0
Cayuga,7,0,0,0
Essex,7,0,0,0
Seneca,6,0,0,0
Schuyler,4,0,0,0
Hamilton,2,0,0,0
Lewis,2,0,0,0
Yates,1,0,0,0
Unassigned,0,1173,0,0
